generator,noise,strategy,repeats,max_steps,seed,attempt,stop_reason,abs_err_x,uncert,final_entropy,measurements,expected_uniform_points,sobol_baseline_steps,sobol_difference,steps_to_fb,err_fb_at_milestone,err_fc_at_milestone,fc_at_milestone,overall_uncert_at_milestone,final_err_fb,final_err_fc,final_overall_uncert,final_steps,err_fb_diff,err_fc_diff,duration_ms,sweep_steps,locator_steps,dips_detected,total_dip_width,min_dip_width,expected_focused_points,sweep_efficiency,measurements_done,acquisition_lo,acquisition_hi,sobol_freq_steps,sobol_conv_diff
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,67,locator_stop,31647.14095878601,95326.52620691806,32.9849873435689,3000,41.065708418890765,,-2958.9342915811094,,,,,,31647.14095878601,23513.52123893518,36021.08434276994,3000,,,52744.612900016364,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,68,locator_stop,2030471.00771904,84551.26226181164,30.202717749301765,3000,50.88804071246778,,-2949.111959287532,,,,,,2030471.00771904,1487486.7611593101,22612.419621962556,3000,,,66691.80170001346,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,69,locator_stop,3009824.1282930374,85880.87803218514,30.79223830421852,3000,41.40579710144921,,-2958.594202898551,,,,,,3009824.1282930374,2095742.1129178246,24886.33594809892,3000,,,80490.35350000486,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,70,locator_stop,130617.75452709198,99506.00360753015,32.70373997878262,3000,38.23900573613785,,-2961.7609942638624,,,,,,130617.75452709198,69805.03186490387,36112.43564399082,3000,,,94379.24860001658,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,71,locator_stop,2219929.4460635185,86759.04246047139,29.656393913592698,3000,41.8389121338913,,-2958.1610878661086,,,,,,2219929.4460635185,1716039.8780318107,21152.52056326694,3000,,,111721.42519999761,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,72,locator_stop,162659.58782863617,117961.89210144803,33.411905489816355,3000,51.8780804150461,,-2948.121919584954,,,,,,162659.58782863617,107894.55758321797,42060.75052114231,3000,,,124728.66540000541,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,73,locator_stop,1305322.1987547874,88072.81847111881,31.654677226111794,3000,36.864516129032395,,-2963.1354838709676,,,,,,1305322.1987547874,928217.6660444159,28908.013816476727,3000,,,145306.0942000011,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,74,locator_stop,124264.5723285675,61416.36549727991,28.234320953687266,3000,97.08252427184192,,-2902.917475728158,,,,,,124264.5723285675,4854.888327296823,16160.663687884362,3000,,,159067.02710001264,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,75,locator_stop,226515.90172624588,78734.57798268646,26.095733976165427,3000,35.5854092526692,,-2964.4145907473307,,,,,,226515.90172624588,681956.5051530022,14663.920593506087,3000,,,184355.09959998308,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,76,locator_stop,1513791.0809693336,43550.084228627384,22.37410025629849,3000,103.35400516796055,,-2896.6459948320394,,,,,,1513791.0809693336,1157564.8233741103,8095.799161886524,3000,,,199791.60689999117,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,77,locator_stop,15151.312705039978,87235.18112674356,31.6627792518805,3000,36.83057090239429,,-2963.1694290976056,,,,,,15151.312705039978,6381.001692223363,29108.755625384496,3000,,,221820.28049998917,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,78,locator_stop,1892323.440211296,69496.90578039736,29.29754813073339,3000,58.907216494845905,,-2941.092783505154,,,,,,1892323.440211296,1330595.3252261123,19136.022395937736,3000,,,239677.62860000948,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,79,locator_stop,252933.98935985565,389237.5389114022,38.408586259530736,3000,149.80524344569176,,-2850.1947565543082,,,,,,252933.98935985565,353290.9466517018,106176.5232770652,3000,,,264224.109999981,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,80,locator_stop,3627862.9576005936,62116.94562807679,24.93565224561027,3000,78.73622047244076,,-2921.263779527559,,,,,,3627862.9576005936,3191390.7407129854,11634.26039812857,3000,,,264266.4165000024,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,81,locator_stop,64099.35796499252,77734.21384627,30.757424443645526,3000,30.579510703364257,,-2969.420489296636,,,,,,64099.35796499252,13943.107511238195,24321.021546043023,3000,,,316302.0414999919,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,82,locator_stop,3683401.6802244186,96305.24436943233,26.360221329035184,3000,55.55277777777713,,-2944.447222222223,,,,,,3683401.6802244186,2579982.634897639,17305.22611146131,3000,,,341190.71939997957,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,83,locator_stop,1865031.9525604248,79138.3208706975,27.22435798897122,3000,50.43883984867509,,-2949.561160151325,,,,,,1865031.9525604248,495313.58032233315,16350.103541029375,3000,,,337165.39429998375,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,84,locator_stop,4165272.238158226,69439.44026716053,24.858591117448398,3000,73.66114180478745,,-2926.3388581952127,,,,,,4165272.238158226,3117666.4865497416,12852.662803149944,3000,,,414309.2078999907,0,3000,,,,,,,,,,
